user_id,timestamp,device_type,location,age_group,gender,ad_id,content_type,ad_topic,ad_target_audience,click_through_rate,conversion_rate,engagement_level,view_time,cost_per_click,click_through_rate,conversion_rate,ROI_Category
15,11/19/2025 23:14,Mobile,Germany,45-54,Male,A7566,Text,Electronics,Fitness Lovers,0.026430304943799006,0.0555,Liked,44,0.55,0.026430304943799006,0.0555,Low
16,7/12/2025 12:45,Desktop,UK,35-44,Male,A2136,Video,Fashion,Fitness Lovers,0.032331421,0.0833,Ignored,35,1.05,0.032331421,0.0833,Low
17,4/14/2025 1:36,Mobile,UK,45-54,Female,A6418,Text,Automotive,Travel Lovers,0.026709491581407535,0.0941,Ignored,24,0.33,0.026709491581407535,0.0941,Low
18,6/25/2025 14:35,Desktop,Canada,25-34,Female,A1938,Image,Electronics,Travel Lovers,0.053840417,0.0718,Commented,55,0.94,0.053840417,0.0718,Low
19,2/2/2025 3:37,Desktop,India,35-44,Female,A9613,Video,Fashion,Travel Lovers,0.067478121,0.0874,Commented,57,0.11,0.067478121,0.0874,Low
20,8/3/2025 18:55,Mobile,Germany,45-54,Female,A1384,Text,Electronics,Family Oriented,0.045624758755534386,0.1363,Liked,14,0.89,0.045624758755534386,0.1363,Low
21,6/2/2025 8:39,Mobile,India,45-54,Female,A7637,Text,Automotive,Travel Lovers,0.13189557614266426,0.0167,Commented,59,1.14,0.13189557614266426,0.0167,Low
22,7/28/2025 10:29,Mobile,USA,18-24,Male,A8806,Text,Electronics,Young Adults,0.12661545159019855,0.0778,Liked,31,0.23,0.12661545159019855,0.0778,Low
23,4/20/2025 20:22,Desktop,USA,25-34,Female,A3037,Image,Automotive,Tech Enthusiasts,0.083808765,0.0843,Liked,39,0.15,0.083808765,0.0843,Low
24,6/27/2025 9:03,Desktop,UK,55+,Female,A2703,Video,Health,Travel Lovers,0.012234922205190261,0.032,Liked,26,1.36,0.012234922205190261,0.032,Low
25,7/30/2025 6:01,Mobile,Germany,45-54,Female,A5416,Video,Travel,Travel Lovers,0.089848376,0.0442,Liked,37,0.7,0.089848376,0.0442,Low
26,3/6/2025 0:00,Tablet,India,25-34,Male,A7809,Video,Automotive,Tech Enthusiasts,0.043878833153153655,0.0602,Liked,18,1.34,0.043878833153153655,0.0602,Low
27,9/9/2025 4:12,Mobile,Germany,45-54,Male,A8043,Text,Fashion,Tech Enthusiasts,0.016470222539803764,0.1157,Ignored,26,1.45,0.016470222539803764,0.1157,Low
28,12/15/2025 4:23,Tablet,Germany,45-54,Female,A1712,Image,Electronics,Young Adults,0.04549592,0.0118,Liked,60,1.15,0.04549592,0.0118,Low
29,3/6/2025 2:05,Desktop,Canada,25-34,Male,A1518,Video,Health,Young Adults,0.070607405,0.0705,Liked,44,1.03,0.070607405,0.0705,Low
30,7/18/2025 16:23,Tablet,India,35-44,Female,A9281,Video,Fashion,Tech Enthusiasts,0.022189198117640127,0.0695,Ignored,15,0.1,0.022189198117640127,0.0695,Low
31,10/30/2025 17:47,Desktop,Germany,25-34,Male,A6119,Video,Automotive,Young Adults,0.14973254206727402,0.0942,Liked,58,0.71,0.14973254206727402,0.0942,Low
32,12/17/2025 3:05,Tablet,UK,55+,Male,A1593,Text,Health,Young Adults,0.035469399,0.123,Liked,58,0.49,0.035469399,0.123,Low
33,2/19/2025 20:32,Tablet,India,55+,Female,A8410,Text,Fashion,Family Oriented,0.077571866,0.1033,Liked,58,1.04,0.077571866,0.1033,Low
34,4/19/2025 13:25,Mobile,USA,55+,Female,A2651,Image,Health,Tech Enthusiasts,0.072798935,0.0132,Liked,56,0.12,0.072798935,0.0132,Low
35,6/14/2025 18:05,Mobile,Canada,45-54,Male,A7541,Video,Travel,Travel Lovers,0.08998937,0.0837,Ignored,21,0.27,0.08998937,0.0837,Low
36,6/11/2025 1:23,Tablet,Canada,18-24,Female,A6032,Video,Fashion,Young Adults,0.040009214731900354,0.0792,Liked,46,1.25,0.040009214731900354,0.0792,Low
37,2/19/2025 18:41,Desktop,Germany,35-44,Female,A1493,Text,Automotive,Travel Lovers,0.057785534222050995,0.0997,Liked,29,1.37,0.057785534222050995,0.0997,Low
38,5/19/2025 18:52,Mobile,India,35-44,Male,A5107,Text,Travel,Tech Enthusiasts,0.078101242,0.1256,Ignored,45,0.16,0.078101242,0.1256,Low
39,11/2/2025 8:56,Tablet,USA,18-24,Male,A2884,Video,Electronics,Tech Enthusiasts,0.020614321,0.1425,Ignored,20,0.76,0.020614321,0.1425,Low
40,8/1/2025 20:09,Tablet,Germany,45-54,Male,A7926,Video,Automotive,Fitness Lovers,0.030348836372264126,0.0554,Liked,21,0.96,0.030348836372264126,0.0554,Low
41,9/1/2025 5:47,Tablet,India,25-34,Male,A3251,Video,Health,Fitness Lovers,0.033024903750846844,0.125,Shared,36,1.5,0.033024903750846844,0.125,Low
42,5/4/2025 8:07,Mobile,India,25-34,Female,A2445,Text,Travel,Young Adults,0.081911133,0.1227,Shared,11,0.64,0.081911133,0.1227,Low
43,4/12/2025 3:57,Desktop,India,35-44,Male,A3526,Video,Travel,Young Adults,0.091873033,0.0873,Liked,60,0.38,0.091873033,0.0873,Low
44,3/10/2025 7:57,Tablet,India,25-34,Male,A5497,Image,Electronics,Travel Lovers,0.1407105425526207,0.1224,Shared,49,0.17,0.1407105425526207,0.1224,Medium
45,4/1/2025 21:01,Mobile,Canada,18-24,Female,A8305,Image,Electronics,Tech Enthusiasts,0.05007085,0.1353,Shared,56,0.32,0.05007085,0.1353,Low
46,10/17/2025 6:13,Tablet,Canada,18-24,Male,A7213,Video,Automotive,Fitness Lovers,0.13901542309496093,0.0538,Ignored,29,0.44,0.13901542309496093,0.0538,Low
47,9/24/2025 9:00,Mobile,USA,45-54,Male,A8694,Image,Automotive,Fitness Lovers,0.041934141,0.105,Commented,17,0.3,0.041934141,0.105,Low
48,10/30/2025 19:41,Desktop,India,55+,Male,A1789,Image,Electronics,Fitness Lovers,0.018056943993625667,0.0311,Shared,55,0.42,0.018056943993625667,0.0311,Low
49,12/16/2025 6:07,Tablet,Canada,45-54,Male,A2326,Text,Electronics,Travel Lovers,0.095237163,0.0956,Liked,36,0.93,0.095237163,0.0956,Low
50,11/14/2025 15:58,Mobile,India,55+,Female,A3647,Text,Electronics,Family Oriented,0.066067631,0.021,Liked,45,1.44,0.066067631,0.021,Low
51,3/28/2025 23:09,Desktop,Canada,55+,Female,A8347,Text,Fashion,Fitness Lovers,0.080936101,0.0587,Ignored,58,0.19,0.080936101,0.0587,Low
52,9/22/2025 9:21,Mobile,USA,25-34,Female,A6629,Text,Travel,Family Oriented,0.032081507,0.1054,Liked,40,1.27,0.032081507,0.1054,Low
53,8/19/2025 5:32,Tablet,UK,55+,Male,A8228,Text,Travel,Young Adults,0.067230033,0.0745,Shared,20,0.71,0.067230033,0.0745,Low
54,9/11/2025 5:48,Desktop,Canada,18-24,Male,A3626,Text,Automotive,Travel Lovers,0.093263574,0.1198,Shared,17,1.26,0.093263574,0.1198,Low
55,12/26/2025 16:23,Tablet,USA,18-24,Male,A5505,Text,Electronics,Family Oriented,0.048302147,0.1324,Shared,57,1.22,0.048302147,0.1324,Low
56,9/10/2025 11:54,Desktop,India,45-54,Male,A9485,Text,Electronics,Young Adults,0.11809538936102727,0.1319,Liked,41,0.6,0.11809538936102727,0.1319,Low
57,11/13/2025 18:26,Tablet,India,45-54,Male,A5357,Image,Fashion,Family Oriented,0.084784821,0.0307,Commented,28,1.4,0.084784821,0.0307,Low
58,11/6/2025 20:56,Mobile,Canada,35-44,Female,A6797,Image,Health,Young Adults,0.14017976004779623,0.031,Shared,12,1.44,0.14017976004779623,0.031,Low
59,7/17/2025 14:06,Desktop,India,55+,Male,A1443,Video,Health,Travel Lovers,0.12540208596339023,0.0552,Liked,24,1.25,0.12540208596339023,0.0552,Low
60,10/28/2025 10:42,Tablet,India,55+,Male,A9767,Video,Travel,Travel Lovers,0.010161626,0.017,Ignored,20,0.56,0.010161626,0.017,Low
61,7/9/2025 19:09,Mobile,UK,55+,Female,A8919,Image,Automotive,Family Oriented,0.11414674720853021,0.0897,Liked,10,1.14,0.11414674720853021,0.0897,Low
62,8/27/2025 12:31,Tablet,Germany,35-44,Female,A1539,Image,Electronics,Tech Enthusiasts,0.014812556308215229,0.0288,Liked,48,0.97,0.014812556308215229,0.0288,Low
63,1/18/2025 0:14,Desktop,Germany,45-54,Female,A6223,Video,Electronics,Fitness Lovers,0.098049942,0.0703,Shared,41,0.7,0.098049942,0.0703,Low
64,4/30/2025 10:48,Tablet,Canada,18-24,Male,A3525,Image,Fashion,Fitness Lovers,0.090077072,0.0923,Shared,25,0.21,0.090077072,0.0923,Low
65,12/16/2025 23:17,Mobile,UK,55+,Female,A2364,Image,Fashion,Travel Lovers,0.070073744,0.0535,Ignored,57,0.24,0.070073744,0.0535,Low
66,5/21/2025 23:32,Mobile,India,25-34,Female,A7869,Text,Automotive,Family Oriented,0.021900588529222546,0.0973,Liked,23,0.59,0.021900588529222546,0.0973,Low
67,2/10/2025 10:08,Desktop,USA,25-34,Female,A2326,Image,Automotive,Travel Lovers,0.036611874,0.0581,Shared,31,0.32,0.036611874,0.0581,Low
68,6/18/2025 11:22,Desktop,Canada,45-54,Female,A2239,Video,Health,Tech Enthusiasts,0.071390892,0.0863,Ignored,11,0.22,0.071390892,0.0863,Low
69,6/19/2025 11:49,Desktop,Canada,45-54,Female,A5837,Image,Travel,Fitness Lovers,0.054042226767027454,0.0751,Commented,52,0.29,0.054042226767027454,0.0751,Low
70,2/25/2025 23:08,Mobile,India,18-24,Male,A3940,Video,Electronics,Family Oriented,0.019130402538096086,0.0831,Ignored,17,0.28,0.019130402538096086,0.0831,Low
71,11/29/2025 6:33,Tablet,India,25-34,Female,A7896,Text,Health,Young Adults,0.11303806875259023,0.139,Ignored,11,0.88,0.11303806875259023,0.139,Low
72,1/1/2025 2:05,Mobile,India,25-34,Female,A4389,Video,Automotive,Family Oriented,0.12831456421447618,0.0167,Ignored,11,0.72,0.12831456421447618,0.0167,Low
73,8/8/2025 3:44,Mobile,Germany,25-34,Female,A7347,Video,Automotive,Travel Lovers,0.043376125,0.0441,Shared,58,0.85,0.043376125,0.0441,Low
74,10/24/2025 2:36,Mobile,USA,45-54,Male,A4089,Video,Electronics,Travel Lovers,0.1471126017985531,0.1079,Shared,35,0.59,0.1471126017985531,0.1079,Low
75,6/2/2025 14:29,Desktop,Germany,35-44,Female,A3386,Image,Electronics,Family Oriented,0.11249139824179442,0.0623,Shared,40,1.03,0.11249139824179442,0.0623,Low
76,11/23/2025 13:22,Desktop,Canada,55+,Female,A6754,Text,Fashion,Tech Enthusiasts,0.10913385392617779,0.1251,Shared,55,0.81,0.10913385392617779,0.1251,Low
77,10/2/2025 4:19,Mobile,Germany,18-24,Male,A5753,Text,Travel,Young Adults,0.11554111389855969,0.1061,Shared,49,0.36,0.11554111389855969,0.1061,Low
78,12/2/2025 3:25,Tablet,Germany,25-34,Female,A3675,Image,Fashion,Tech Enthusiasts,0.11492982764873144,0.0305,Ignored,17,1.03,0.11492982764873144,0.0305,Low
79,7/26/2025 3:35,Tablet,Canada,55+,Female,A2479,Image,Travel,Travel Lovers,0.11955269903918528,0.0521,Liked,12,0.42,0.11955269903918528,0.0521,Low
80,5/4/2025 11:51,Mobile,Germany,35-44,Male,A4205,Video,Electronics,Travel Lovers,0.1250555624509229,0.1478,Shared,11,1.24,0.1250555624509229,0.1478,Low
81,12/23/2025 20:23,Tablet,UK,45-54,Female,A6782,Image,Automotive,Family Oriented,0.14911797685569828,0.0494,Commented,56,0.25,0.14911797685569828,0.0494,Low
82,5/2/2025 15:12,Desktop,Canada,25-34,Male,A6621,Text,Health,Travel Lovers,0.10784538431833368,0.0204,Ignored,26,1.2,0.10784538431833368,0.0204,Low
83,4/16/2025 16:06,Desktop,India,25-34,Female,A6187,Video,Travel,Tech Enthusiasts,0.017831158,0.0456,Shared,55,0.67,0.017831158,0.0456,Low
84,4/24/2025 7:30,Desktop,USA,18-24,Female,A4307,Image,Electronics,Young Adults,0.11877912738652129,0.0348,Liked,34,0.39,0.11877912738652129,0.0348,Low
85,11/26/2025 22:23,Mobile,USA,25-34,Male,A8572,Text,Automotive,Family Oriented,0.031822543,0.1068,Ignored,20,0.43,0.031822543,0.1068,Low
86,12/28/2025 16:41,Desktop,Canada,18-24,Male,A4721,Text,Travel,Fitness Lovers,0.14596577652293574,0.1015,Commented,52,1.36,0.14596577652293574,0.1015,Low
87,3/16/2025 16:50,Desktop,USA,25-34,Male,A8700,Video,Fashion,Tech Enthusiasts,0.089597674,0.134,Shared,40,0.14,0.089597674,0.134,Low
88,9/24/2025 2:05,Tablet,India,25-34,Male,A3642,Text,Travel,Family Oriented,0.090167225,0.0415,Shared,26,0.73,0.090167225,0.0415,Low
89,5/29/2025 11:09,Mobile,UK,18-24,Male,A3019,Text,Automotive,Tech Enthusiasts,0.12342191453485302,0.0405,Liked,44,1.44,0.12342191453485302,0.0405,Low
90,9/8/2025 4:03,Tablet,UK,35-44,Male,A1648,Text,Fashion,Family Oriented,0.013328696400116594,0.0721,Ignored,39,0.16,0.013328696400116594,0.0721,Low
91,7/14/2025 14:28,Desktop,Canada,25-34,Male,A3473,Text,Travel,Family Oriented,0.061778044,0.1131,Shared,13,1.49,0.061778044,0.1131,Low
92,1/9/2025 1:24,Tablet,Germany,35-44,Male,A7461,Image,Travel,Tech Enthusiasts,0.11848703127638517,0.0648,Commented,45,0.61,0.11848703127638517,0.0648,Low
93,10/5/2025 3:17,Tablet,India,18-24,Female,A7762,Image,Travel,Family Oriented,0.11097723743380351,0.1182,Commented,10,1.02,0.11097723743380351,0.1182,Low
94,2/21/2025 5:33,Desktop,Germany,18-24,Male,A7490,Text,Travel,Young Adults,0.10156177943074168,0.0484,Ignored,31,1.19,0.10156177943074168,0.0484,Low
95,9/14/2025 15:57,Tablet,USA,55+,Male,A5518,Video,Health,Fitness Lovers,0.14903500254715912,0.1251,Ignored,59,0.99,0.14903500254715912,0.1251,Low
96,1/9/2025 6:16,Desktop,India,18-24,Male,A7052,Image,Travel,Family Oriented,0.042274176,0.0667,Shared,14,0.73,0.042274176,0.0667,Low
97,9/16/2025 0:29,Desktop,UK,35-44,Male,A9497,Video,Fashion,Fitness Lovers,0.094678721,0.0878,Shared,56,1.04,0.094678721,0.0878,Low
98,4/10/2025 20:04,Desktop,USA,25-34,Male,A2129,Text,Automotive,Travel Lovers,0.12294647033962473,0.0981,Liked,15,0.48,0.12294647033962473,0.0981,Low
99,12/11/2025 1:57,Desktop,Germany,18-24,Female,A9035,Image,Travel,Fitness Lovers,0.021388072,0.0687,Shared,49,0.91,0.021388072,0.0687,Low
100,2/18/2025 17:23,Tablet,USA,35-44,Male,A7180,Image,Automotive,Tech Enthusiasts,0.018245258628456693,0.0268,Liked,20,1.39,0.018245258628456693,0.0268,Low
101,10/30/2025 20:28,Tablet,Germany,18-24,Female,A9000,Video,Travel,Young Adults,0.075906757,0.1139,Shared,56,0.93,0.075906757,0.1139,Low
102,11/4/2025 15:45,Mobile,India,18-24,Male,A4342,Image,Fashion,Fitness Lovers,0.13310174540044542,0.0151,Liked,42,1.39,0.13310174540044542,0.0151,Low
103,3/17/2025 1:55,Tablet,USA,18-24,Male,A5720,Image,Travel,Fitness Lovers,0.012332118717281564,0.1311,Ignored,50,0.41,0.012332118717281564,0.1311,Low
104,3/23/2025 7:22,Mobile,UK,45-54,Male,A4714,Video,Electronics,Tech Enthusiasts,0.061343687720054885,0.1426,Liked,51,1.11,0.061343687720054885,0.1426,Low
105,10/22/2025 4:03,Mobile,Germany,35-44,Female,A5066,Image,Automotive,Travel Lovers,0.067663692,0.1459,Liked,55,0.39,0.067663692,0.1459,Low
106,10/10/2025 5:07,Mobile,USA,35-44,Male,A1036,Text,Health,Tech Enthusiasts,0.11593966818933261,0.0394,Ignored,25,1.42,0.11593966818933261,0.0394,Low
107,3/11/2025 10:05,Mobile,USA,25-34,Female,A1686,Image,Electronics,Family Oriented,0.07423247,0.0423,Ignored,42,1.18,0.07423247,0.0423,Low
108,9/10/2025 22:39,Tablet,USA,18-24,Female,A1551,Text,Automotive,Young Adults,0.070972298,0.0399,Shared,25,1.04,0.070972298,0.0399,Low
109,5/19/2025 5:03,Tablet,India,25-34,Female,A2033,Video,Travel,Tech Enthusiasts,0.073011343,0.0407,Ignored,15,1.23,0.073011343,0.0407,Low
110,11/13/2025 3:20,Desktop,USA,55+,Female,A5698,Video,Electronics,Tech Enthusiasts,0.049717268,0.1297,Commented,25,1.15,0.049717268,0.1297,Low
111,7/13/2025 1:51,Tablet,USA,35-44,Female,A3409,Image,Electronics,Family Oriented,0.094516677,0.1227,Ignored,42,1.37,0.094516677,0.1227,Low
112,5/10/2025 18:25,Mobile,Germany,25-34,Male,A2909,Image,Fashion,Tech Enthusiasts,0.015383524323078424,0.1336,Liked,17,1.35,0.015383524323078424,0.1336,Low
113,12/29/2025 14:36,Tablet,Germany,18-24,Female,A4255,Text,Travel,Young Adults,0.036780160024170915,0.0834,Shared,16,0.24,0.036780160024170915,0.0834,Low
114,10/11/2025 0:46,Desktop,Germany,55+,Female,A7179,Text,Health,Travel Lovers,0.030260103274187912,0.1091,Commented,32,0.39,0.030260103274187912,0.1091,Low
115,1/3/2025 3:23,Desktop,Canada,45-54,Male,A6902,Video,Electronics,Fitness Lovers,0.028145056597029476,0.1012,Commented,46,0.56,0.028145056597029476,0.1012,Low
116,4/30/2025 20:22,Desktop,USA,45-54,Female,A8362,Text,Automotive,Family Oriented,0.10204689164825716,0.1498,Shared,31,0.69,0.10204689164825716,0.1498,Low
117,8/8/2025 18:21,Desktop,UK,35-44,Male,A7620,Image,Health,Travel Lovers,0.052340923,0.1065,Liked,10,0.79,0.052340923,0.1065,Low
118,3/24/2025 4:51,Tablet,Canada,18-24,Female,A2996,Image,Automotive,Travel Lovers,0.13538244193848084,0.0292,Ignored,44,1.33,0.13538244193848084,0.0292,Low
119,7/19/2025 6:39,Desktop,UK,45-54,Female,A8688,Video,Automotive,Young Adults,0.11342271748095699,0.0769,Liked,41,0.81,0.11342271748095699,0.0769,Low
120,9/28/2025 13:58,Desktop,Germany,25-34,Female,A7445,Image,Travel,Fitness Lovers,0.13294775665879516,0.0182,Shared,54,1.09,0.13294775665879516,0.0182,Low
121,5/19/2025 17:46,Desktop,Canada,45-54,Male,A9943,Video,Health,Young Adults,0.14288749528166494,0.1056,Liked,37,0.39,0.14288749528166494,0.1056,Low
122,10/1/2025 23:09,Mobile,Canada,35-44,Male,A2604,Video,Fashion,Young Adults,0.080190489,0.1082,Ignored,24,0.13,0.080190489,0.1082,Low
123,7/6/2025 1:54,Mobile,India,55+,Male,A5023,Video,Fashion,Fitness Lovers,0.087401912,0.1095,Shared,25,1.25,0.087401912,0.1095,Low
124,10/18/2025 1:30,Tablet,USA,25-34,Male,A4914,Video,Travel,Family Oriented,0.11833134753083303,0.1238,Ignored,21,0.7,0.11833134753083303,0.1238,Low
125,1/22/2025 5:41,Desktop,Canada,25-34,Male,A2761,Video,Automotive,Family Oriented,0.020540913,0.0508,Commented,47,0.54,0.020540913,0.0508,Low
126,11/14/2025 7:31,Tablet,UK,55+,Male,A1681,Video,Travel,Travel Lovers,0.064875131,0.0995,Liked,41,1.4,0.064875131,0.0995,Low
127,2/12/2025 6:50,Desktop,Canada,25-34,Male,A9837,Text,Health,Travel Lovers,0.075989183,0.0272,Liked,29,1.08,0.075989183,0.0272,Low
128,8/8/2025 13:14,Mobile,Germany,25-34,Male,A1056,Video,Health,Tech Enthusiasts,0.087308321,0.0508,Shared,40,1.2,0.087308321,0.0508,Low
129,8/5/2025 13:34,Desktop,UK,35-44,Female,A6088,Text,Automotive,Tech Enthusiasts,0.12625801135502085,0.0887,Liked,49,1.01,0.12625801135502085,0.0887,Low
130,4/21/2025 22:57,Tablet,USA,35-44,Male,A1996,Image,Travel,Travel Lovers,0.051086555,0.0461,Commented,44,0.7,0.051086555,0.0461,Low
131,6/2/2025 0:31,Desktop,India,55+,Female,A3804,Image,Travel,Young Adults,0.011991096445636333,0.1065,Commented,18,1.48,0.011991096445636333,0.1065,Low
132,6/19/2025 10:39,Tablet,USA,55+,Male,A5618,Video,Automotive,Travel Lovers,0.12451209409757402,0.039,Ignored,58,0.95,0.12451209409757402,0.039,Low
133,2/23/2025 20:31,Mobile,Germany,18-24,Female,A5907,Image,Electronics,Young Adults,0.010528767,0.0524,Ignored,19,1.37,0.010528767,0.0524,Low
134,3/12/2025 3:51,Mobile,USA,25-34,Male,A5829,Text,Automotive,Young Adults,0.024402226966224516,0.0122,Liked,39,0.14,0.024402226966224516,0.0122,Low
135,10/1/2025 3:27,Desktop,Germany,45-54,Female,A6067,Video,Fashion,Travel Lovers,0.017842263,0.0542,Shared,15,1.42,0.017842263,0.0542,Low
136,4/13/2025 15:14,Mobile,UK,35-44,Female,A6379,Video,Health,Young Adults,0.13401150405078113,0.118,Liked,58,0.58,0.13401150405078113,0.118,Low
137,10/28/2025 1:21,Mobile,Germany,45-54,Female,A6537,Video,Electronics,Fitness Lovers,0.07414204,0.0386,Commented,52,0.64,0.07414204,0.0386,Low
138,12/1/2025 1:02,Desktop,Germany,55+,Female,A7827,Image,Automotive,Travel Lovers,0.14290118259743118,0.056,Commented,43,0.16,0.14290118259743118,0.056,Low
139,11/16/2025 9:37,Desktop,UK,18-24,Male,A2728,Video,Automotive,Fitness Lovers,0.0744785,0.1377,Liked,53,1.3,0.0744785,0.1377,Low
140,12/4/2025 9:30,Mobile,USA,35-44,Male,A7079,Video,Automotive,Family Oriented,0.040104497,0.0533,Commented,52,0.26,0.040104497,0.0533,Low
141,8/10/2025 3:03,Desktop,India,25-34,Female,A7274,Text,Health,Fitness Lovers,0.14909215581238464,0.0849,Commented,47,1.35,0.14909215581238464,0.0849,Low
142,9/1/2025 17:47,Mobile,Canada,25-34,Female,A9081,Image,Travel,Tech Enthusiasts,0.068362395,0.136,Ignored,59,0.91,0.068362395,0.136,Low
143,10/31/2025 4:59,Tablet,USA,55+,Female,A6782,Video,Fashion,Family Oriented,0.1382149165945954,0.0323,Liked,35,0.31,0.1382149165945954,0.0323,Low
144,3/12/2025 13:29,Tablet,USA,25-34,Female,A3988,Image,Automotive,Travel Lovers,0.0312722,0.117,Ignored,30,0.44,0.0312722,0.117,Low
145,7/9/2025 11:50,Desktop,Canada,18-24,Male,A7774,Image,Automotive,Young Adults,0.1020704145842715,0.106,Ignored,39,1.25,0.1020704145842715,0.106,Low
146,8/19/2025 0:51,Tablet,Germany,45-54,Male,A6053,Video,Travel,Fitness Lovers,0.092107937,0.0286,Liked,11,0.32,0.092107937,0.0286,Low
147,5/8/2025 20:51,Desktop,Germany,35-44,Female,A4321,Image,Health,Family Oriented,0.13727837979444524,0.0715,Ignored,50,0.26,0.13727837979444524,0.0715,Low
148,3/15/2025 8:19,Mobile,UK,45-54,Male,A5744,Image,Health,Tech Enthusiasts,0.046541760256850244,0.0864,Liked,43,0.41,0.046541760256850244,0.0864,Low
149,8/21/2025 10:29,Tablet,UK,25-34,Male,A4514,Video,Health,Young Adults,0.11385037992202056,0.0571,Shared,60,0.34,0.11385037992202056,0.0571,Low
150,7/22/2025 21:17,Mobile,Germany,18-24,Male,A8062,Text,Fashion,Tech Enthusiasts,0.059893977135852615,0.1169,Liked,39,0.63,0.059893977135852615,0.1169,Low
151,8/28/2025 19:45,Mobile,Canada,18-24,Male,A3416,Video,Electronics,Family Oriented,0.011637453257329795,0.0785,Ignored,45,0.8,0.011637453257329795,0.0785,Low
152,5/16/2025 23:41,Tablet,USA,45-54,Female,A4128,Image,Travel,Family Oriented,0.021856391659691284,0.0321,Ignored,60,1.43,0.021856391659691284,0.0321,Low
153,6/20/2025 4:57,Tablet,Canada,45-54,Female,A5308,Text,Fashion,Young Adults,0.14595898604302052,0.1368,Shared,58,0.67,0.14595898604302052,0.1368,Low
154,5/22/2025 6:40,Tablet,Canada,45-54,Male,A1820,Image,Automotive,Young Adults,0.056725112,0.11,Commented,58,0.42,0.056725112,0.11,Low
155,12/3/2025 15:55,Desktop,India,55+,Male,A1041,Video,Health,Young Adults,0.069936153,0.1202,Shared,15,0.56,0.069936153,0.1202,Low
156,6/2/2025 7:07,Mobile,Germany,25-34,Male,A6147,Text,Fashion,Family Oriented,0.059625423,0.1019,Commented,27,1.04,0.059625423,0.1019,Low
157,1/21/2025 18:17,Tablet,Canada,55+,Female,A4527,Text,Health,Fitness Lovers,0.031155629806461714,0.1363,Ignored,32,0.45,0.031155629806461714,0.1363,Low
158,3/1/2025 13:17,Mobile,Germany,35-44,Female,A6511,Text,Electronics,Young Adults,0.086798657,0.136,Commented,27,1,0.086798657,0.136,Low
159,1/5/2025 14:50,Tablet,Germany,45-54,Male,A9225,Video,Electronics,Tech Enthusiasts,0.087158936,0.0593,Shared,19,1.12,0.087158936,0.0593,Low
160,4/20/2025 11:10,Desktop,Canada,35-44,Male,A1582,Video,Fashion,Travel Lovers,0.144598523,0.0578,Shared,39,0.63,0.144598523,0.0578,Low
161,4/22/2025 3:25,Desktop,UK,45-54,Female,A7623,Text,Automotive,Travel Lovers,0.1449667514974442,0.0836,Liked,40,0.82,0.1449667514974442,0.0836,Low
